,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
777,M,Adult,skiing,AUSTRALIA,6,2012,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
780,M,Youth,Fishing,USA,6,2012,Non defined,Provoked,N,OTHERS
781,F,Youth,Swimming,USA,6,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
784,M,Youth,Swimming,USA,6,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
785,M,Adult,Surfing,AUSTRALIA,6,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
787,M,Young Adult,skiing,AUSTRALIA,6,2012,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
790,F,Young Adult,Wading,USA,5,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
791,M,Adult,diving,MEXICO,5,2012,Bull shark,Unprovoked,N,OTHERS
792,M,Youth,Surfing,USA,5,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
795,M,Young Adult,Kayaking,USA,5,2012,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
797,F,Youth,boarding,USA,5,2012,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
798,M,Young Adult,Surfing,USA,4,2012,Non defined,Unprovoked,N,OTHERS
799,M,Youth,boarding,SOUTH AFRICA,4,2012,White shark,Unprovoked,Y,FATAL
801,M,Young Adult,Surfing,USA,4,2012,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
803,M,Young Adult,diving,AUSTRALIA,3,2012,White shark,Unprovoked,Y,FATAL
806,M,Youth,Surfing,AUSTRALIA,3,2012,Bull shark,Unprovoked,N,OTHERS
807,M,Adult,Surfing,USA,3,2012,Bull shark,Unprovoked,N,OTHERS
808,F,Youth,Surfing,USA,3,2012,Non defined,Unprovoked,N,LOWER EXTREMITIES
809,M,Youth,Surfing,USA,3,2012,Non defined,Unprovoked,N,OTHERS
811,F,Young Adult,Diving,AUSTRALIA,3,2012,Non defined,Provoked,N,OTHERS
813,M,Youth,Surfing,USA,3,2012,White shark,Unprovoked,N,OTHERS
821,M,Young Adult,Snorkeling,AUSTRALIA,1,2012,Tiger shark,Unprovoked,N,OTHERS
824,M,Adult,Surfing,AUSTRALIA,1,2012,White shark,Unprovoked,N,OTHERS
825,M,Young Adult,Swimming,SOUTH AFRICA,1,2012,Bull shark,Unprovoked,Y,FATAL
827,M,Young Adult,Surfing,AUSTRALIA,1,2012,Non defined,Unprovoked,N,OTHERS
828,M,Young Adult,Spearfishing,AUSTRALIA,1,2012,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
835,M,Adult,Surfing,AUSTRALIA,12,2011,White shark,Unprovoked,N,OTHERS
842,M,Children,Swimming,AUSTRALIA,11,2011,Non defined,Unprovoked,N,LOWER EXTREMITIES
850,M,Young Adult,Diving,AUSTRALIA,1,2011,White shark,Unprovoked,Y,FATAL
852,M,Adult,Diving,AUSTRALIA,1,2011,Non defined,Unprovoked,N,OTHERS
861,M,Adult,Swimming,SOUTH AFRICA,9,2011,White shark,Unprovoked,N,LOWER EXTREMITIES
862,M,Youth,Spearfishing,USA,9,2011,Bull shark,Unprovoked,N,OTHERS
